MOD13Q1,250m_16_days_EVI,A2000049,2000-02-18,0.0732,0.4689,279.383,0.3957,0.2925,0.0063,0.0795,1089,955,87.7,2015136104603,0.425
MOD13Q1,250m_16_days_NDVI,A2000049,2000-02-18,0.0794,0.7087,337.3261,0.6293,0.3532,0.0126,0.1121,1089,955,87.7,2015136104603,0.4801
MOD13Q1,250m_16_days_EVI,A2000065,2000-03-05,-0.0097,0.5134,245.0707,0.5231,0.2332,0.005,0.0705,1089,1051,96.51,2015136022542,0.3393
MOD13Q1,250m_16_days_NDVI,A2000065,2000-03-05,-0.0068,0.7218,320.1629,0.7286,0.3046,0.0186,0.1365,1089,1051,96.51,2015136022542,0.3991
MOD13Q1,250m_16_days_EVI,A2000081,2000-03-21,-0.0417,0.515,269.483,0.5567,0.265,0.0053,0.0727,1089,1017,93.39,2015136041516,0.3507
MOD13Q1,250m_16_days_NDVI,A2000081,2000-03-21,-0.0303,0.8194,508.5111,0.8497,0.5,0.022,0.1482,1089,1017,93.39,2015136041516,0.6814
MOD13Q1,250m_16_days_EVI,A2000097,2000-04-06,0.1263,0.4363,307.5241,0.31,0.2954,0.0044,0.0662,1089,1041,95.59,2015136041500,0.2669
MOD13Q1,250m_16_days_NDVI,A2000097,2000-04-06,0.2413,0.7814,579.7211,0.5401,0.5569,0.0101,0.1006,1089,1041,95.59,2015136041500,0.5438
MOD13Q1,250m_16_days_EVI,A2000113,2000-04-22,0.1441,0.3689,303.6851,0.2248,0.2789,0.0016,0.0402,1089,1089,100.0,2015137032735,0.3261
MOD13Q1,250m_16_days_NDVI,A2000113,2000-04-22,0.3155,0.7495,595.4913,0.434,0.5468,0.0047,0.0685,1089,1089,100.0,2015137032735,0.6245
MOD13Q1,250m_16_days_EVI,A2000129,2000-05-08,0.1405,0.3578,274.7478,0.2173,0.2523,0.001,0.0308,1089,1089,100.0,2015137053123,0.2695
MOD13Q1,250m_16_days_NDVI,A2000129,2000-05-08,0.311,0.6933,592.8547,0.3823,0.5444,0.0047,0.0688,1089,1089,100.0,2015137053123,0.5892
MOD13Q1,250m_16_days_EVI,A2000145,2000-05-24,0.1496,0.449,298.0548,0.2994,0.2737,0.0019,0.043,1089,1089,100.0,2015137095103,0.2554
MOD13Q1,250m_16_days_NDVI,A2000145,2000-05-24,0.3163,0.7895,631.5972,0.4732,0.58,0.0061,0.078,1089,1089,100.0,2015137095103,0.6348
MOD13Q1,250m_16_days_EVI,A2000161,2000-06-09,0.147,0.4055,311.4811,0.2585,0.286,0.0015,0.0393,1089,1089,100.0,2015137050935,0.3003
MOD13Q1,250m_16_days_NDVI,A2000161,2000-06-09,0.3093,0.7242,607.9565,0.4149,0.5583,0.0049,0.0702,1089,1089,100.0,2015137050935,0.5898
MOD13Q1,250m_16_days_EVI,A2000177,2000-06-25,0.1471,0.4208,322.6012,0.2737,0.2962,0.0019,0.0441,1089,1089,100.0,2015138073610,0.3081
